seeded_canonical,stem,candidate_literal,n_trials,agency_class,suggested_action
Bayer,bayer,"Bayer Healthcare Pharmaceuticals, Inc./Bayer Schering Pharma",29,INDUSTRY,
"Astellas Pharma Global Development, Inc.",astellas,"Astellas Pharma China, Inc.",29,INDUSTRY,
"Sumitomo Pharma America, Inc.",sumitomo,"Sumitomo Pharma Co., Ltd.",29,INDUSTRY,
Astellas Pharma Inc,astellas,"Astellas Pharma China, Inc.",29,INDUSTRY,
Tanabe Pharma Corporation,tanabe,"Tanabe Pharma America, Inc.",28,INDUSTRY,
"Alexion Pharmaceuticals, Inc.",alexion,"Achillion, a wholly owned subsidiary of Alexion",28,INDUSTRY,
"Genentech, Inc.",genentech,Roche-Genentech,27,INDUSTRY,
"CSPC ZhongQi Pharmaceutical Technology Co., Ltd.",cspc,"CSPC Baike (Shandong) Biopharmaceutical Co., Ltd.",27,INDUSTRY,
"Smith & Nephew, Inc.",smith,Smith & Nephew Orthopaedics AG,26,INDUSTRY,
Sanofi,sanofi,"Ablynx, a Sanofi company",25,INDUSTRY,
"Sanofi Pasteur, a Sanofi Company",sanofi,"Ablynx, a Sanofi company",25,INDUSTRY,
"CSPC ZhongQi Pharmaceutical Technology Co., Ltd.",cspc,"CSPC Megalith Biopharmaceutical Co.,Ltd.",25,INDUSTRY,
Bristol-Myers Squibb,bristol-myers,"Juno Therapeutics, Inc., a Bristol-Myers Squibb Company",24,INDUSTRY,
Allergan,allergan,"Naurex, Inc, an affiliate of Allergan plc",22,INDUSTRY,
"Kyowa Kirin Co., Ltd.",kyowa,"Kyowa Hakko Kirin Pharma, Inc.",21,INDUSTRY,
"CooperVision, Inc.",coopervision,CooperVision International Limited (CVIL),21,INDUSTRY,
"Jiangsu Hansoh Pharmaceutical Co., Ltd.",jiangsu,"Jiangsu Famous Medical Technology Co., Ltd.",20,INDUSTRY,
"Jiangsu HengRui Medicine Co., Ltd.",jiangsu,"Jiangsu Famous Medical Technology Co., Ltd.",20,INDUSTRY,
"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",chia,Nanjing Chia-tai Tianqing Pharmaceutical,20,INDUSTRY,
Abbott Nutrition,abbott,Abbott Diagnostics Division,19,INDUSTRY,
Shire,shire,"Baxalta Innovations GmbH, now part of Shire",19,INDUSTRY,
Abbott,abbott,Abbott Diagnostics Division,19,INDUSTRY,
Abbott Medical Devices,abbott,Abbott Diagnostics Division,19,INDUSTRY,
Teva Pharmaceuticals USA,teva,"Teva Pharmaceutical Industries, Ltd.",18,INDUSTRY,
Novartis Vaccines,novartis,"Alcon, a Novartis Company",18,INDUSTRY,
"Teva Branded Pharmaceutical Products R&D, Inc.",teva,"Teva Pharmaceutical Industries, Ltd.",18,INDUSTRY,
Novo Nordisk A/S,novo,"Dicerna Pharmaceuticals, Inc., a Novo Nordisk company",18,INDUSTRY,
Merck & Co,merck,"Verona Pharma, Inc., a subsidiary of Merck & Co., Inc. (Rahway, New Jersey USA",18,INDUSTRY,
Merck KGaA,merck,"Verona Pharma, Inc., a subsidiary of Merck & Co., Inc. (Rahway, New Jersey USA",18,INDUSTRY,
Alcon Research,alcon,"Alcon, a Novartis Company",18,INDUSTRY,
Novartis Pharmaceuticals,novartis,"Alcon, a Novartis Company",18,INDUSTRY,
Novartis,novartis,"Alcon, a Novartis Company",18,INDUSTRY,
"Teva Branded Pharmaceutical Products R&D, Inc.",teva,"Teva Neuroscience, Inc.",17,INDUSTRY,
Teva Pharmaceuticals USA,teva,"Teva Neuroscience, Inc.",17,INDUSTRY,
Incyte Corporation,incyte,Incyte Biosciences International Sàrl,16,INDUSTRY,
Abbott,abbott,Abbott Point of Care,16,INDUSTRY,
Abbott Nutrition,abbott,Abbott Point of Care,16,INDUSTRY,
Abbott Medical Devices,abbott,Abbott Point of Care,16,INDUSTRY,
"Sanofi Pasteur, a Sanofi Company",sanofi,"Bioverativ, a Sanofi company",16,INDUSTRY,
"Sumitomo Pharma America, Inc.",sumitomo,Sumitomo Pharma Switzerland GmbH,16,INDUSTRY,
Sanofi,sanofi,"Bioverativ, a Sanofi company",16,INDUSTRY,
Merck KGaA,merck,Merck Canada Inc.,15,INDUSTRY,
Merck & Co,merck,Merck Canada Inc.,15,INDUSTRY,
"Sanofi Pasteur, a Sanofi Company",sanofi,"Kadmon, a Sanofi Company",14,INDUSTRY,
Mylan Pharmaceuticals Inc,mylan,Mylan Bertek Pharmaceuticals,14,INDUSTRY,
Sanofi,sanofi,"Kadmon, a Sanofi Company",14,INDUSTRY,
"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",chia,"Shanghai Chia Tai Tianqing Pharmaceutical Technology Development Co., Ltd.",14,INDUSTRY,
Boston Scientific Corporation,boston,Boston Pharmaceuticals,13,INDUSTRY,
Allergan,allergan,Allergan Medical,13,INDUSTRY,
"Kyowa Kirin Co., Ltd.",kyowa,Kyowa Kirin Pharmaceutical Development Ltd,13,INDUSTRY,
Abbott Medical Devices,abbott,Abbott Rapid Dx,12,INDUSTRY,
Mylan Pharmaceuticals Inc,mylan,Mylan GmbH,12,INDUSTRY,
Abbott,abbott,Abbott Rapid Dx,12,INDUSTRY,
Abbott Nutrition,abbott,Abbott Rapid Dx,12,INDUSTRY,
"Smith & Nephew, Inc.",smith,Upsher-Smith Laboratories,11,INDUSTRY,
Sanofi,sanofi,"Principia Biopharma, a Sanofi Company",10,INDUSTRY,
Chiesi Farmaceutici S.p.A.,chiesi,"Chiesi USA, Inc.",10,INDUSTRY,
Amgen,amgen,Amgen Research (Munich) GmbH,10,INDUSTRY,
"Sanofi Pasteur, a Sanofi Company",sanofi,"Principia Biopharma, a Sanofi Company",10,INDUSTRY,
Novartis Vaccines,novartis,Novartis Korea Ltd.,9,INDUSTRY,
Novartis Vaccines,novartis,Novartis Gene Therapies,9,INDUSTRY,
"Otsuka Pharmaceutical Co., Ltd.",otsuka,"Taiwan Otsuka Pharm. Co., Ltd",9,INDUSTRY,
Novartis Pharmaceuticals,novartis,Novartis Korea Ltd.,9,INDUSTRY,
"Otsuka Pharmaceutical Co., Ltd.",otsuka,Otsuka Pharmaceutical Europe Ltd,9,INDUSTRY,
Novartis,novartis,Novartis Korea Ltd.,9,INDUSTRY,
Novartis,novartis,Novartis Gene Therapies,9,INDUSTRY,
Boston Scientific Corporation,boston,Boston Medical Group,9,INDUSTRY,
Novartis Pharmaceuticals,novartis,Novartis Gene Therapies,9,INDUSTRY,
"Kyowa Kirin Co., Ltd.",kyowa,"Kyowa Hakko Bio Co., Ltd.",9,INDUSTRY,
Daiichi Sankyo,daiichi,"Daiichi Sankyo Korea Co., Ltd.",9,INDUSTRY,
"Otsuka Pharmaceutical Development & Commercialization, Inc.",otsuka,Otsuka Pharmaceutical Europe Ltd,9,INDUSTRY,
"Otsuka Pharmaceutical Development & Commercialization, Inc.",otsuka,"Taiwan Otsuka Pharm. Co., Ltd",9,INDUSTRY,
Jazz Pharmaceuticals,jazz,Jazz Pharmaceuticals Ireland Limited,9,INDUSTRY,
"Kyowa Kirin Co., Ltd.",kyowa,"Kyowa Kirin Korea Co., Ltd.",9,INDUSTRY,
Ferring Pharmaceuticals,ferring,Ferring Arzneimittel GmbH,9,INDUSTRY,
Allergan,allergan,"Allergan Sales, LLC",9,INDUSTRY,
"Qilu Pharmaceutical Co., Ltd.",qilu,"Qilu Pharmaceutical (Hainan) Co., Ltd.",8,INDUSTRY,
"Teva Branded Pharmaceutical Products R&D, Inc.",teva,Teva Pharma,8,INDUSTRY,
"Genzyme, a Sanofi Company",genzyme,BioMarin/Genzyme LLC,8,INDUSTRY,
Innovent Biologics (Suzhou) Co. Ltd.,innovent,"Innovent Biopharmaceutical Technology (Hangzhou) Co., LTD.",8,INDUSTRY,
Takeda,takeda,Millennium: The Takeda Oncology Company,8,INDUSTRY,
Takeda,takeda,"Takeda Pharmaceuticals International, Inc.",8,INDUSTRY,
"Qilu Pharmaceutical Co., Ltd.",qilu,"Shandong Qilu Stem Cells Engineering Co., Ltd.",8,INDUSTRY,
"Millennium Pharmaceuticals, Inc.",millennium,Millennium: The Takeda Oncology Company,8,INDUSTRY,
Daiichi Sankyo,daiichi,Daiichi Pharmaceuticals,8,INDUSTRY,
"Dong-A ST Co., Ltd.",dong-a,Dong-A Pharmaceutical,8,INDUSTRY,
Teva Pharmaceuticals USA,teva,Teva Pharma,8,INDUSTRY,
"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",chia,"Jiangsu Chia Tai Fenghai Pharmaceutical Co., Ltd.",7,INDUSTRY,
"CSPC ZhongQi Pharmaceutical Technology Co., Ltd.",cspc,CSPC Pharmaceutical Group Limited,7,INDUSTRY,
Mylan Pharmaceuticals Inc,mylan,Mylan Laboratories,7,INDUSTRY,
"Kyowa Kirin Co., Ltd.",kyowa,"Kyowa Kirin China Pharmaceutical Co., Ltd.",7,INDUSTRY,
Innovent Biologics (Suzhou) Co. Ltd.,innovent,Innovent Biologics Technology Limited (Shanghai R&D Center),7,INDUSTRY,
Teva Pharmaceuticals USA,teva,Teva GTC,7,INDUSTRY,
"Teva Branded Pharmaceutical Products R&D, Inc.",teva,Teva GTC,7,INDUSTRY,
Ferring Pharmaceuticals,ferring,Ferring SAU,6,INDUSTRY,
Allergan,allergan,"Durata Therapeutics Inc., an affiliate of Allergan plc",6,INDUSTRY,
Incyte Corporation,incyte,Incyte Biosciences Japan GK,6,INDUSTRY,
Bayer,bayer,"Bayer Yakuhin, Ltd.",6,INDUSTRY,
Boehringer Ingelheim,boehringer,Boehringer Labs LLC,6,INDUSTRY,
Shire,shire,"Shire Human Genetic Therapies, Inc.",6,INDUSTRY,
Galderma R&D,galderma,Galderma Brasil Ltda.,6,INDUSTRY,
Zimmer Biomet,zimmer,"Zimmer, GmbH",6,INDUSTRY,
Boston Scientific Corporation,boston,Boston Therapeutics,6,INDUSTRY,
Chiesi Farmaceutici S.p.A.,chiesi,Chiesi UK,6,INDUSTRY,
Chiesi Farmaceutici S.p.A.,chiesi,Chiesi Italia,5,INDUSTRY,
Novartis,novartis,"Corthera, Inc.(formerly BAS Medical, Inc.), a member of the Novartis group of companies",5,INDUSTRY,
Boston Scientific Corporation,boston,"Boston Intelligent Medical Research Center, Shenzhen United Scheme Technology Co., Ltd.",5,INDUSTRY,
Mylan Pharmaceuticals Inc,mylan,Mylan Pharma UK Ltd.,5,INDUSTRY,
Novartis Vaccines,novartis,"Corthera, Inc.(formerly BAS Medical, Inc.), a member of the Novartis group of companies",5,INDUSTRY,
Edwards Lifesciences,edwards,"JC Medical, Inc., an affiliate of Edwards Lifesciences LLC",5,INDUSTRY,
Eisai Inc.,eisai,Eisai China Inc.,5,INDUSTRY,
Ipsen,ipsen,"Albireo, an Ipsen Company",5,INDUSTRY,
Novartis Pharmaceuticals,novartis,"Corthera, Inc.(formerly BAS Medical, Inc.), a member of the Novartis group of companies",5,INDUSTRY,
Zimmer Biomet,zimmer,Zimmer Dental,5,INDUSTRY,
Zimmer Biomet,zimmer,"Zimmer Orthobiologics, Inc.",5,INDUSTRY,
Biogen,biogen,"HI-Bio, A Biogen Company",5,INDUSTRY,
Galderma R&D,galderma,Galderma Laboratorium GmbH,4,INDUSTRY,
"Teva Branded Pharmaceutical Products R&D, Inc.",teva,Teva Pharma GmbH,4,INDUSTRY,
BeiGene,beigene,"BeiGene USA, Inc.",4,INDUSTRY,
Allergan,allergan,"Chase Pharmaceuticals Corporation, an affiliate of Allergan plc",4,INDUSTRY,
Teva Pharmaceuticals USA,teva,Teva Pharma GmbH,4,INDUSTRY,
Chiesi Farmaceutici S.p.A.,chiesi,"Chiesi Slovenija, d.o.o.",4,INDUSTRY,
Chiesi Farmaceutici S.p.A.,chiesi,Chiesi Hungary Ltd.,4,INDUSTRY,
"Smith & Nephew, Inc.",smith,Smith & Nephew Medical (Shanghai) Ltd,4,INDUSTRY,
Bial - Portela C S.A.,bial,"Bial R&D Investments, S.A.",3,INDUSTRY,
Novartis,novartis,"Novartis Slovakia, s.r.o.",3,INDUSTRY,
Eisai Inc.,eisai,Eisai Pharmaceuticals India Pvt. Ltd,3,INDUSTRY,
Edwards Lifesciences,edwards,"Edwards (Shanghai) Lifesciences Medical Supplies Co., Ltd.",3,INDUSTRY,
Novartis Vaccines,novartis,"Novartis Slovakia, s.r.o.",3,INDUSTRY,
Daewoong Pharmaceutical Co. LTD.,daewoong,PT. Daewoong Infion,3,INDUSTRY,
Novo Nordisk A/S,novo,Novo Nordisk Foundation (NNF),3,UNKNOWN,
Novo Nordisk A/S,novo,The Novo Nordisk Foundation,3,UNKNOWN,
Boston Scientific Corporation,boston,Boston Scientific Group,3,UNKNOWN,
"Boryung Pharmaceutical Co., Ltd",boryung,"Boryung Biopharma Co., Ltd.",3,INDUSTRY,
Edwards Lifesciences,edwards,Louise and Alan Edwards Foundation,3,UNKNOWN,
"Smith & Nephew, Inc.",smith,Smith & Nephew Wound Management Inc,3,INDUSTRY,
AstraZeneca,astrazeneca,AstraZeneca Turkey,3,INDUSTRY,
Shire,shire,Shire International GmbH,3,UNKNOWN,
Bristol-Myers Squibb,bristol-myers,"Adnexus, A Bristol-Myers Squibb R&D Company",3,INDUSTRY,
Incyte Corporation,incyte,Incyte Biosciences UK,3,INDUSTRY,
Akeso,akeso,"Akeso Biopharma Co., Ltd.",3,UNKNOWN,
Takeda,takeda,Laboratoires Takeda,3,INDUSTRY,
Novartis Pharmaceuticals,novartis,"Novartis Slovakia, s.r.o.",3,INDUSTRY,
Jazz Pharmaceuticals,jazz,Jazz Pharmaceuticals Research UK Limited,2,INDUSTRY,
Boehringer Ingelheim,boehringer,Alberta Boehringer Ingelheim Collaboration,2,UNKNOWN,
Bristol-Myers Squibb,bristol-myers,"AstraZeneca, Bristol-Myers Squibb",2,UNKNOWN,
Boehringer Ingelheim,boehringer,Boehringer Mannheim,2,INDUSTRY,
"Bausch Health Americas, Inc.",bausch,"Salix Pharmaceuticals, Inc. a division of Bausch Health US, LLC",2,UNKNOWN,
Bial - Portela C S.A.,bial,Bial Foundation,2,UNKNOWN,
Bayer,bayer,Bayer S.p.A,2,UNKNOWN,
Bausch & Lomb Incorporated,bausch,"Salix Pharmaceuticals, Inc. a division of Bausch Health US, LLC",2,UNKNOWN,
UCB Pharma,ucb pharma,UCB PHARMA Inc. (US),2,INDUSTRY,
Novo Nordisk A/S,novo,Novo Cellular Medicine Institute LLP,2,INDUSTRY,
Novo Nordisk A/S,novo,Novo Nordisk Canada Inc.,2,UNKNOWN,
Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,pfizer,Pfizer Pharmaceuticals Ltd.,2,INDUSTRY,
AstraZeneca,astrazeneca,"AstraZeneca, Bristol-Myers Squibb",2,UNKNOWN,
Vertex Pharmaceuticals Incorporated,vertex,"Alpine Immune Sciences Inc, A Subsidiary of Vertex",2,INDUSTRY,
Zimmer Biomet,zimmer,Zimmer Spine,2,INDUSTRY,
Actelion,actelion,Actelion Pharmaceuticals Deutschland GmbH,2,INDUSTRY,
"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",chia,"Chia Tai Tianqing Pharmaceutical (Guangzhou) Co., Ltd.",2,INDUSTRY,
Pfizer,pfizer,Pfizer Pharmaceuticals Ltd.,2,INDUSTRY,
"Qilu Pharmaceutical Co., Ltd.",qilu,"Qilu Pharmaceutical Group Co., Ltd",2,UNKNOWN,
Eisai Inc.,eisai,Eisai Farmacêutica S.A.,2,INDUSTRY,
"Qilu Pharmaceutical Co., Ltd.",qilu,Qilu Puget Sound Biotherapeutics (dba Sound Biologics),2,INDUSTRY,
"Qilu Pharmaceutical Co., Ltd.",qilu,"Shandong Qilu Cell Therapy Engineering Technology Co., Ltd",2,INDUSTRY,
Incyte Corporation,incyte,Incyte BioSciences France,2,INDUSTRY,
Gilead Sciences,gilead,Kite Pharma (a Gilead Company),2,UNKNOWN,
Shire,shire,"Shire Regenerative Medicine, Inc.",2,INDUSTRY,
"Smith & Nephew, Inc.",smith,John Peter Smith Health Network,2,UNKNOWN,
Société des Produits Nestlé (SPN),société,"SFNDT - Société Francophone de Néphrologie, Dialyse et Transplantation",2,UNKNOWN,
Forest Laboratories,forest,coreLab Black Forest GmbH,2,UNKNOWN,
Forest Laboratories,forest,Forest Hills Lab,2,INDUSTRY,
Société des Produits Nestlé (SPN),société,Société Française de Physiothérapie (SFP).,2,UNKNOWN,
Société des Produits Nestlé (SPN),société,Société Française de Médecine Vasculaire,2,UNKNOWN,
Société des Produits Nestlé (SPN),société,Société Française de Recherche et Médecine du Sommeil (S.F.R.M.S),2,UNKNOWN,
Société des Produits Nestlé (SPN),société,Société Tunisienne de Cardiologie & de Chirurgie Cardio-Vasculaire,2,UNKNOWN,
Forest Laboratories,forest,CoreLab Black Forest,2,UNKNOWN,
Edwards Lifesciences,edwards,The Louise And Alan Edwards Foundation,2,UNKNOWN,
Coloplast A/S,coloplast,Laboratoires Coloplast S.A.S,2,INDUSTRY,
"Dong-A ST Co., Ltd.",dong-a,"Dong-A PharmTech Co., Ltd.",2,INDUSTRY,
Daiichi Sankyo,daiichi,Daiichi Sankyo Taiwan Ltd.,2,INDUSTRY,
Daiichi Sankyo,daiichi,"Daiichi Sankyo Korea Co., Ltd., a Daiichi Sankyo Company",2,INDUSTRY,
"Sumitomo Pharma America, Inc.",sumitomo,Dainippon Sumitomo Pharma America,2,INDUSTRY,
Daewoong Pharmaceutical Co. LTD.,daewoong,Daewoong Group Indonesia,2,INDUSTRY,
"Millennium Pharmaceuticals, Inc.",millennium,MIDAP Millennium Institute for Research in Depression and Personality,2,UNKNOWN,
Daewoong Pharmaceutical Co. LTD.,daewoong,Daewoong Bio Inc.,2,INDUSTRY,
Edwards Lifesciences,edwards,Louise & Alan Edwards Foundation,2,UNKNOWN,
Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,pfizer,Pfizer Inc. (Provider of study drugs),1,UNKNOWN,
Regeneron Pharmaceuticals,regeneron,Sanofi-Regeneron,1,UNKNOWN,
"Sumitomo Pharma America, Inc.",sumitomo,"Sumitomo Heavy Industries, Ltd.",1,UNKNOWN,
ViiV Healthcare,viiv,ViiV Healthcare Australia Pty. Ltd,1,UNKNOWN,
Vertex Pharmaceuticals Incorporated,vertex,VERTEX Pharmaceutical,1,UNKNOWN,
Pfizer,pfizer,"PFIZER, Bratislava, Slovakia",1,UNKNOWN,
UCB Pharma,ucb pharma,"UCB Pharma SA, Belgium",1,INDUSTRY,
"Sumitomo Pharma America, Inc.",sumitomo,Dainippon Sumitomo Pharma Europe LTd.,1,INDUSTRY,
Pfizer,pfizer,Bristol-Meyers Squibb & Pfizer,1,UNKNOWN,
Pfizer,pfizer,Pfizer Grants for Learning and Change,1,UNKNOWN,
Pfizer,pfizer,Pfizer Inc. (Provider of study drugs),1,UNKNOWN,
Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,pfizer,Bristol-Meyers Squibb & Pfizer,1,UNKNOWN,
Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,pfizer,Pfizer Grants for Learning and Change,1,UNKNOWN,
